HCL AppScan on Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Description,Report Date U T C,Total Issues In The Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Static_jazzcalm_workspace_2023-02-17_04-22-33_2023-03-02,,2023-03-02T10:34:18Z,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Impact,Business Unit,Description,Hosts,Max Severity,Risk Rating,Testing Status,Url,Date Created,Last Updated,Availability Requirement,Collateral Damage Potential,Confidentiality Requirement,Integrity Requirement,Target Distribution,Business Owner,Development Contact,Tester,,,,,,,,,,,,,,,,
56f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
2cf85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
59f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
2ff85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
32f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
35f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
38f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
3bf85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
3ef85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
41f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
5cf85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
5ff85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
62f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
65f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
68f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
6bf85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
6ef85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
71f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
45f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
74f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
47f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
77f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
4af85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
4df85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
50f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
53f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Inappropriate Encoding for Output Context,Correctly encode all data that was received from an external source,Improper Output Handling,It is possible to execute arbitrary code on the Web application's clients,Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,116,,,java.io.PrintWriter.printf(String;Object[]):PrintWriter com.urbancode.commons.util.ThreadDump:398,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,398,com.urbancode.commons.util.ThreadDump.write(java.lang.management.ThreadInfo;long[];java.io.PrintWriter):void,,Sast,,0,,,,,,com.urbancode.commons.util.ThreadDump,f1a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
57f95b9e-ccae-ed11-9173-14cb6572319f,Low,1,Missing Encryption of Sensitive Data,Transmit all sensitive data over an SSL connection,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations","Query parameters were passed over SSL, and may contain sensitive information",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,311,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\pt_BR\hintsAndTips.html:11,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\pt_BR\hintsAndTips.html,f4a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
5af95b9e-ccae-ed11-9173-14cb6572319f,Low,1,Missing Encryption of Sensitive Data,Transmit all sensitive data over an SSL connection,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations","Query parameters were passed over SSL, and may contain sensitive information",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,311,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh\hintsAndTips.html:3,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh\hintsAndTips.html,f4a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
5df95b9e-ccae-ed11-9173-14cb6572319f,Low,1,Missing Encryption of Sensitive Data,Transmit all sensitive data over an SSL connection,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations","Query parameters were passed over SSL, and may contain sensitive information",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,311,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh\hintsAndTips.html:11,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh\hintsAndTips.html,f4a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
60f95b9e-ccae-ed11-9173-14cb6572319f,Low,1,Missing Encryption of Sensitive Data,Transmit all sensitive data over an SSL connection,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations","Query parameters were passed over SSL, and may contain sensitive information",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,311,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh\hintsAndTips.html:11,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh\hintsAndTips.html,f4a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
63f95b9e-ccae-ed11-9173-14cb6572319f,Low,1,Missing Encryption of Sensitive Data,Transmit all sensitive data over an SSL connection,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations","Query parameters were passed over SSL, and may contain sensitive information",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,311,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh\hintsAndTips.html:11,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh\hintsAndTips.html,f4a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
66f95b9e-ccae-ed11-9173-14cb6572319f,Low,1,Missing Encryption of Sensitive Data,Transmit all sensitive data over an SSL connection,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations","Query parameters were passed over SSL, and may contain sensitive information",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,311,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh_TW\hintsAndTips.html:3,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh_TW\hintsAndTips.html,f4a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
69f95b9e-ccae-ed11-9173-14cb6572319f,Low,1,Missing Encryption of Sensitive Data,Transmit all sensitive data over an SSL connection,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations","Query parameters were passed over SSL, and may contain sensitive information",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,311,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh_TW\hintsAndTips.html:11,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh_TW\hintsAndTips.html,f4a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
6cf95b9e-ccae-ed11-9173-14cb6572319f,Low,1,Missing Encryption of Sensitive Data,Transmit all sensitive data over an SSL connection,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations","Query parameters were passed over SSL, and may contain sensitive information",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,311,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh_TW\hintsAndTips.html:11,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh_TW\hintsAndTips.html,f4a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
6ff95b9e-ccae-ed11-9173-14cb6572319f,Low,1,Missing Encryption of Sensitive Data,Transmit all sensitive data over an SSL connection,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations","Query parameters were passed over SSL, and may contain sensitive information",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,311,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh_TW\hintsAndTips.html:11,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\zh_TW\hintsAndTips.html,f4a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
eef85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Missing Encryption of Sensitive Data,Transmit all sensitive data over an SSL connection,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations","Query parameters were passed over SSL, and may contain sensitive information",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,311,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\de\hintsAndTips.html:3,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\de\hintsAndTips.html,f4a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
f1f85b9e-ccae-ed11-9173-14cb6572319f,Low,1,Missing Encryption of Sensitive Data,Transmit all sensitive data over an SSL connection,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations","Query parameters were passed over SSL, and may contain sensitive information",ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,311,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\de\hintsAndTips.html:11,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm.source\hintsAndTips\de\hintsAndTips.html,f4a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
